Organization Name (CFI),Israeli Org Number,Hebrew Name,English Name (Registry),City,Street,Postal Code,Status,Category,Website,West Bank
Woman To Woman,580007409,אשה לאשה (ע~ר),,ירושלים,מרים החשמונאית,,רשומה (Registered),Social & Humanitarian,https://en.jerusalemshelter.org.il/,No
Yad Ezra V'Shulamit,580313641,יד עזרא ושולמית ירושלים (ע~ר),,ירושלים,יואל,9527043,רשומה (Registered),Social & Humanitarian,https://www.yadezra.net/,No
Perech / Perach,NOT FOUND - no exact match,,,,,,,,https://perachisrael.org.il/,No
Mithabrim Laneshama,580489771,זכרון יוסף ומאיר - מתחברים לנשמה (ע~ר),,נתניה,רזניק דוד,4246385,רשומה (Registered),Social & Humanitarian,https://www.laneshama.org/en/,No
The Ramon Foundation,580523074,קרן רמון (ע~ר),,תל אביב - יפו,דרך בגין,6713812,רשומה (Registered),Education,https://ramonfoundation.org.il/,No
The Schoolhouse,NOT FOUND in registry,,,,,,,,https://www.schoolhouse.org.il/,No
Maaleh Film School,NOT FOUND - no exact match,,,,,,,,https://www.maale.co.il/en,No
Mekimi,580529303,מקימי- השער לכלכלה נבונה (ע~ר),,ירושלים,בית הדפוס,9548307,רשומה (Registered),Education,https://en.mekimi.org.il/,No
NEA BPD Israel,580618445,הארגון הישראלי החינוכי למען טיפול בהפרעת אישיות גבולית (ע~ר),NEABPD Israel,ירושלים,השופט חיים כהן,9350000,רשומה (Registered),Education,https://www.neabpd.co.il/en/,No
Yedidya,580034213,קהילת ידידיה (ע~ר),,ירושלים,ליפשיץ נחום,9110001,רשומה (Registered),Education,https://m-yedidya.wixsite.com/yedidya,No
Truth About Israel,514888247,האמת על ישראל - החברה להכשרה ולחינוך (חל~צ) בע~מ,THE TRUTH ABOUT ISRAEL (CC) LTD,הוד השרון,העובד הציוני,4534008,פעילה (Active),Education,http://www.thetruthaboutisrael.org.il/,No
Shurat HaDin,580402469,שורת הדין (ע~ר),,בני ברק,מצדה,5120109,רשומה (Registered),Education,https://israellawcenter.org/,No
TPS / Tazpit,580552826,תצפית - סוכנות ידיעות (ע~ר),,ירושלים,כנפי נשרים,9546425,רשומה (Registered),Education,https://tazpit.org.il/,No
Mirror / Mareh,NOT FOUND - no exact Gush Etzion art match,,,,,,,,https://mareh.org.il/en,Yes
Tsad Kadima,580115319,צעד קדימה - עמותה לחינוך ושיקום (ע~ר),,ירושלים,בית הדפוס,9548311,רשומה (Registered),Education,https://tsadkadima.org.il/en/,No
Refanah,515112506,רפא נא - נופש מרפא בע~מ (חל~צ),Refanah - Healing Holidays Ltd (CC),ירושלים,קורא הדורות,9338721,פעילה (Active),Medical,https://www.refanah.org/home,No
Christians Friends of MDA (CFMDA),NOT FOUND in registry,,,,,,,,https://www.cfmda.com/,No
Isr A.L.S,NOT FOUND in registry,,,,,,,,http://en.israls.org.il/,No
Grandpa Jack Therapy Farm,NOT FOUND in registry,,,,,,,,http://www.sabajack.co.il/index.php/en/,No
Restart Global,580658813,ריסטארט גלובל (ע~ר),Restart Global (R.A.),הרצליה,ספיר,4685205,רשומה (Registered),Medical,https://restartglobal.org/,No
For You / Bishvilaych,580537900,בשבילייך - מסע סדנא לנשים בטבע (ע~ר),,גבעת שמואל,יהודה הלוי,5402464,פורקה מרצון (Voluntarily Dissolved),Medical,http://www.bishvilaych.org/,No
The Uniting Line / Hakav,NOT FOUND in registry,,,,,,,,https://hakav.org.il/en/,No
Linat Hazedek,580063295,חברת לינת הצדק בית דינה חיפה (ע~ר),,חיפה,אד~ם הכהן,3271402,רשומה (Registered),Medical,http://katef.org.il/english/,No
Lemonade Fund,580674752,לימונדה ישראל (ע~ר),,ירושלים,וודג'ווד,9310831,רשומה (Registered),Medical,https://lemonadefund.org/,No
Regavim,580460319,רגבים (ע~ר),Regavim,אז~ת שער בנימין,,,רשומה (Registered),,Yes
